codigo_materia,numero_emenda,codigo_emenda,data_apresentacao,tipo_emenda,autor_nome,autor_partido,autor_uf
157233,1,9514745,2023-11-27,EMENDA_TOTAL,Astronauta Marcos Pontes,PL,SP
157233,2,9525386,2023-12-12,EMENDA_PARCIAL,Carlos Viana,PODE,MG
157233,3,9525404,2023-12-12,EMENDA_PARCIAL,Carlos Viana,PODE,MG
157233,4,9588377,2024-04-18,EMENDA_PARCIAL,Vanderlan Cardoso,PSD,GO
157233,5,9591173,2024-04-23,EMENDA_PARCIAL,Vanderlan Cardoso,PSD,GO
157233,6,9591188,2024-04-23,EMENDA_PARCIAL,Vanderlan Cardoso,PSD,GO
157233,7,9633581,2024-06-11,EMENDA_PARCIAL,Alessandro Vieira,MDB,SE
157233,8,9633585,2024-06-11,EMENDA_PARCIAL,Alessandro Vieira,MDB,SE
157233,9,9633589,2024-06-11,EMENDA_PARCIAL,Alessandro Vieira,MDB,SE
157233,10,9633593,2024-06-11,EMENDA_PARCIAL,Alessandro Vieira,MDB,SE
157233,11,9633597,2024-06-11,EMENDA_PARCIAL,Alessandro Vieira,MDB,SE
157233,12,9633601,2024-06-11,EMENDA_PARCIAL,Alessandro Vieira,MDB,SE
157233,13,9633605,2024-06-11,EMENDA_PARCIAL,Alessandro Vieira,MDB,SE
157233,14,9633609,2024-06-11,EMENDA_PARCIAL,Alessandro Vieira,MDB,SE
157233,15,9633613,2024-06-11,EMENDA_PARCIAL,Alessandro Vieira,MDB,SE
157233,16,9633617,2024-06-11,EMENDA_PARCIAL,Alessandro Vieira,MDB,SE
157233,17,9633621,2024-06-11,EMENDA_PARCIAL,Alessandro Vieira,MDB,SE
157233,18,9633562,2024-06-11,EMENDA_PARCIAL,Alessandro Vieira,MDB,SE
157233,19,9633566,2024-06-11,EMENDA_PARCIAL,Alessandro Vieira,MDB,SE
157233,20,9633570,2024-06-11,EMENDA_PARCIAL,Alessandro Vieira,MDB,SE
157233,21,9633574,2024-06-11,EMENDA_PARCIAL,Laércio Oliveira,PP,SE
157233,22,9633578,2024-06-11,EMENDA_PARCIAL,Laércio Oliveira,PP,SE
157233,23,9633642,2024-06-11,EMENDA_PARCIAL,Laércio Oliveira,PP,SE
157233,24,9633646,2024-06-11,EMENDA_PARCIAL,Laércio Oliveira,PP,SE
157233,25,9633625,2024-06-11,EMENDA_PARCIAL,Mecias de Jesus,REPUBLICANOS,RR
157233,26,9633629,2024-06-11,EMENDA_PARCIAL,Mecias de Jesus,REPUBLICANOS,RR
157233,27,9633633,2024-06-11,EMENDA_PARCIAL,Fabiano Contarato,PT,ES
157233,28,9634622,2024-06-12,EMENDA_PARCIAL,Vanderlan Cardoso,PSD,GO
157233,29,9634626,2024-06-12,EMENDA_PARCIAL,Vanderlan Cardoso,PSD,GO
157233,30,9634616,2024-06-12,EMENDA_PARCIAL,Vanderlan Cardoso,PSD,GO
157233,31,9634635,2024-06-12,EMENDA_PARCIAL,Vanderlan Cardoso,PSD,GO
157233,32,9634680,2024-06-12,EMENDA_PARCIAL,Vanderlan Cardoso,PSD,GO
157233,33,9634688,2024-06-12,EMENDA_PARCIAL,Vanderlan Cardoso,PSD,GO
157233,34,9634692,2024-06-12,EMENDA_PARCIAL,Mecias de Jesus,REPUBLICANOS,RR
157233,35,9634696,2024-06-12,EMENDA_PARCIAL,Carlos Viana,PODE,MG
157233,36,9637234,2024-06-12,EMENDA_PARCIAL,Vanderlan Cardoso,PSD,GO
157233,37,9638364,2024-06-13,EMENDA_PARCIAL,Izalci Lucas,PL,DF
157233,38,9638385,2024-06-13,EMENDA_PARCIAL,Izalci Lucas,PL,DF
157233,39,9638368,2024-06-17,EMENDA_PARCIAL,Izalci Lucas,PL,DF
157233,40,9638372,2024-06-17,EMENDA_PARCIAL,Izalci Lucas,PL,DF
157233,41,9638797,2024-06-17,EMENDA_PARCIAL,Efraim Filho,UNIÃO,PB
157233,42,9638821,2024-06-17,EMENDA_PARCIAL,Efraim Filho,UNIÃO,PB
157233,43,9638801,2024-06-17,EMENDA_PARCIAL,Mecias de Jesus,REPUBLICANOS,RR
157233,44,9638805,2024-06-17,EMENDA_PARCIAL,Chico Rodrigues,PSB,RR
157233,45,9638809,2024-06-17,EMENDA_PARCIAL,Chico Rodrigues,PSB,RR
157233,46,9638825,2024-06-17,EMENDA_PARCIAL,Weverton,PDT,MA
157233,47,9639377,2024-06-18,EMENDA_PARCIAL,Alessandro Vieira,MDB,SE
157233,48,9639348,2024-06-18,EMENDA_PARCIAL,Alessandro Vieira,MDB,SE
157233,49,9639390,2024-06-18,EMENDA_PARCIAL,Rogério Carvalho,PT,SE
157233,50,9639356,2024-06-18,EMENDA_PARCIAL,Rogério Carvalho,PT,SE
157233,51,9639431,2024-06-18,EMENDA_PARCIAL,Rogério Carvalho,PT,SE
157233,52,9639520,2024-06-18,EMENDA_PARCIAL,Fabiano Contarato,PT,ES
157233,53,9639599,2024-06-18,EMENDA_PARCIAL,Fabiano Contarato,PT,ES
