autor_nome,autor_partido,autor_uf,n_emendas,posicao
Mecias de Jesus,REPUBLICANOS,RR,41,1
Esperidião Amin,PP,SC,30,2
Laércio Oliveira,PP,SE,28,3
Izalci Lucas,PL,DF,22,4
Alessandro Vieira,MDB,SE,19,5
Marcos Rogério,PL,RO,17,6
Astronauta Marcos Pontes,PL,SP,15,7
Vanderlan Cardoso,PSD,GO,15,8
Carlos Portinho,PL,RJ,11,9
Efraim Filho,UNIÃO,PB,10,10
Rogério Carvalho,PT,SE,8,11
Carlos Viana,PODE,MG,6,12
Fabiano Contarato,PT,ES,5,13
Humberto Costa,PT,PE,5,14
Weverton,PDT,MA,3,15
Chico Rodrigues,PSB,RR,2,16
Rodrigo Cunha,PODE,AL,2,17
Damares Alves,REPUBLICANOS,DF,1,18
Eduardo Girão,NOVO,CE,1,19
Eduardo Gomes,PL,TO,1,20
Mara Gabrilli,PSD,SP,1,21
Nelsinho Trad,PSD,MS,1,22
