codigo_materia,identificacao,ementa,data_apresentacao,situacao_atual,n_emendas,posicao,eh_pl2338
157233,PL 2338/2023,Dispõe sobre o uso da Inteligência Artificial.,2023-05-03,REMETIDA À CÂMARA DOS DEPUTADOS,244,1,TRUE
160197,PL 3626/2023,"Dispõe sobre a modalidade lotérica denominada apostas de quota fixa; altera as Leis nºs 5.768, de 20 de dezembro de 1971, e 13.756, de 12 de dezembro de 2018, e a Medida Provisória nº 2.158-35, de 24 de agosto de 2001; revoga dispositivos do Decreto-Lei nº 204, de 27 de fevereiro de 1967; e dá outras providências.",2023-09-15,TRANSFORMADA EM NORMA JURÍDICA COM VETO PARCIAL,161,2,FALSE
157888,PL 2903/2023,"Regulamenta o art. 231 da Constituição Federal, para dispor sobre o reconhecimento, a demarcação, o uso e a gestão de terras indígenas; e altera as Leis nºs 11.460, de 21 de março de 2007, 4.132, de 10 de setembro de 1962, e 6.001, de 19 de dezembro de 1973.",2023-06-01,TRANSFORMADA EM NORMA JURÍDICA COM VETO PARCIAL,81,3,FALSE
162808,PL 5230/2023,"Altera a Lei nº 9.394, de 20 de dezembro de 1996 (Lei de Diretrizes e Bases da Educação Nacional), a fim de definir diretrizes para o ensino médio, e as Leis nºs 14.818, de 16 de janeiro de 2024, 12.711, de 29 de agosto de 2012, e 11.096, de 13 de janeiro de 2005.",2024-03-26,TRANSFORMADA EM NORMA JURÍDICA COM VETO PARCIAL,75,4,FALSE
169796,PL 5122/2023,"Autoriza a utilização do Fundo Social (FS) de que trata a Lei nº 12.351, de 22 de dezembro de 2010, como fonte de recursos para a disponibilização de linha especial de financiamento que especifica.",2025-08-11,APROVADA,70,5,FALSE
161391,PL 2308/2023,"Institui o marco legal do hidrogênio de baixa emissão de carbono; dispõe sobre a Política Nacional do Hidrogênio de Baixa Emissão de Carbono; institui incentivos para a indústria do hidrogênio de baixa emissão de carbono; institui o Regime Especial de Incentivos para a Produção de Hidrogênio de Baixa Emissão de Carbono (Rehidro); cria o Programa de Desenvolvimento do Hidrogênio de Baixa Emissão de Carbono (PHBC); e altera as Leis nºs 9.427, de 26 de dezembro de 1996, e 9.478, de 6 de agosto de 1997.",2023-12-01,TRANSFORMADA EM NORMA JURÍDICA COM VETO PARCIAL,43,6,FALSE
159291,PL 4015/2023,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), e as Leis nºs 8.072, de 25 de julho de 1990 (Lei dos Crimes Hediondos), 12.694, de 24 julho de 2012, e 13.709, de 14 agosto de 2018 (Lei Geral de Proteção de Dados Pessoais), para reconhecer como atividade de risco permanente as atribuições inerentes ao Poder Judiciário e ao Ministério Público e garantir aos seus membros medidas de proteção, bem como recrudescer o tratamento penal destinado aos crimes de homicídio e de lesão corporal dolosa contra eles, desde que no exercício da função ou em decorrência dela, ou contra seu cônjuge, companheiro ou parente, inclusive por afinidade, até o terceiro grau, em razão dessa condição.",2023-08-16,TRANSFORMADA EM NORMA JURÍDICA COM VETO PARCIAL,30,7,FALSE
158907,PL 2384/2023,"Disciplina a proclamação de resultados de julgamentos na hipótese de empate na votação no âmbito do Conselho Administrativo de Recursos Fiscais (Carf); dispõe sobre a autorregularização de débitos e a conformidade tributária no âmbito da Secretaria Especial da Receita Federal do Brasil do Ministério da Fazenda, sobre o contencioso administrativo fiscal e sobre a transação na cobrança de créditos da Fazenda Pública; altera o Decreto nº 70.235, de 6 de março de 1972, e as Leis nºs 6.830, de 22 de setembro de 1980 (Lei de Execução Fiscal), 9.430, de 27 de dezembro de 1996, 13.988, de 14 de abril de 2020, 5.764, de 16 de dezembro de 1971, 9.249, de 26 de dezembro de 1995, e 10.150, de 21 de dezembro de 2000; e revoga dispositivo da Lei nº 10.522, de 19 de julho de 2002.",2023-07-21,TRANSFORMADA EM NORMA JURÍDICA COM VETO PARCIAL,26,8,FALSE
160545,PL 4426/2023,"Institui o Programa de Enfrentamento à Fila da Previdência Social (PEFPS); dispõe sobre a transformação de cargos efetivos vagos do Poder Executivo federal; altera as Leis nºs 3.268, de 30 de setembro de 1957, 8.213, de 24 de julho de 1991, 8.742, de 7 de dezembro de 1993, 13.146, de 6 de julho de 2015 (Estatuto da Pessoa com Deficiência), 11.907, de 2 de fevereiro de 2009, 11.134, de 15 de julho de 2005, 11.361, de 19 de outubro de 2006, 10.486, de 4 de julho de 2002, 13.328, de 29 de julho de 2016, 9.264, de 7 de fevereiro de 1996, 12.086, de 6 de novembro de 2009, 8.745, de 9 de dezembro de 1993, e 14.204, de 16 de setembro de 2021; e revoga dispositivos das Leis n°s 9.713, de 25 de novembro de 1998, 9.986, de 18 de julho de 2000, e 14.059, de 22 de setembro de 2020, e a Medida Provisória nº 1.181, de 18 de julho de 2023.",2023-10-10,TRANSFORMADA EM NORMA JURÍDICA COM VETO PARCIAL,25,9,FALSE
160970,PL 4173/2023,"Dispõe sobre a tributação de aplicações em fundos de investimento no País e da renda auferida por pessoas físicas residentes no País em aplicações financeiras, entidades controladas e trusts no exterior; altera as Leis nºs 11.033, de 21 de dezembro de 2004, 8.668, de 25 de junho de 1993, e 10.406, de 10 de janeiro de 2002 (Código Civil); revoga dispositivos das Leis nºs 4.728, de 14 de julho de 1965, 9.250, de 26 de dezembro de 1995, 9.532, de 10 de dezembro de 1997, 10.426, de 24 de abril de 2002, e 10.892, de 13 de julho de 2004, do Decreto-Lei nº 2.287, de 23 de julho de 1986, e das Medidas Provisórias nºs 2.189-49, de 23 de agosto de 2001, e 2.158-35, de 24 de agosto de 2001; e dá outras providências.",2023-10-30,TRANSFORMADA EM NORMA JURÍDICA COM VETO PARCIAL,24,10,FALSE
157368,PL 1085/2023,"Dispõe sobre a igualdade salarial e remuneratória entre mulheres e homens; e altera a Consolidação das Leis do Trabalho, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943.",2023-05-10,TRANSFORMADA EM NORMA JURÍDICA,18,11,FALSE
164069,PL 6235/2023,"Institui a Letra de Crédito do Desenvolvimento (LCD); altera as Leis nºs 13.483, de 21 de setembro de 2017, e 11.076, de 30 de dezembro de 2004; e revoga dispositivos das Leis nºs 14.366, de 8 de junho de 2022, e 14.440, de 2 de setembro de 2022.",2024-05-16,TRANSFORMADA EM NORMA JURÍDICA,11,12,FALSE
172003,PL 2162/2023,"Altera dispositivos da Lei nº 7.210, de 11 de julho de 1984 (Lei de Execução Penal) e do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal).",2025-12-10,VETADA,11,13,FALSE
156025,PL 896/2023,"Altera a Lei nº 7.716, de 5 de janeiro de 1989, para incluir os crimes praticados em razão de misoginia.",2023-03-06,REMETIDA À CÂMARA DOS DEPUTADOS,8,14,FALSE
158047,PL 2985/2023,"Altera a Lei nº 13.756, de 12 de dezembro de 2018, que dispõe sobre a modalidade lotérica denominada apostas de quota fixa, para vedar ações de comunicação, publicidade e propaganda.",2023-06-12,REMETIDA À CÂMARA DOS DEPUTADOS,8,15,FALSE
162981,PL 6233/2023,"Altera a Lei nº 10.406, de 10 de janeiro de 2002 (Código Civil), para dispor sobre atualização monetária e juros; e dá outras providências.",2024-03-21,TRANSFORMADA EM NORMA JURÍDICA,7,16,FALSE
166518,PL 2352/2023,"Altera as Leis nºs 4.117, de 27 de agosto de 1962 (Código Brasileiro de Telecomunicações), 9.612, de 19 de fevereiro de 1998, 13.424, de 28 de março de 2017, 5.785, de 23 de junho de 1972, e 5.768, de 20 de dezembro de 1971, para estabelecer diretrizes relacionadas à autorização de modificações de características técnicas, à apresentação de documentos, aos procedimentos de renovação de outorgas e à promoção de recursos de acessibilidade, com o intuito de promover a modernização da legislação sobre serviços de radiodifusão; e revoga a Lei nº 6.606, de 7 de dezembro de 1978.",2024-12-10,TRANSFORMADA EM NORMA JURÍDICA COM VETO PARCIAL,7,17,FALSE
158733,PL 2920/2023,"Institui o Programa de Aquisição de Alimentos (PAA) e o Programa Cozinha Solidária; altera as Leis nºs 12.512, de 14 de outubro de 2011, e 14.133, de 1º de abril de 2021 (Lei de Licitações e Contratos Administrativos); e revoga dispositivos das Leis nºs 11.718, de 20 de junho de 2008, 11.775, de 17 de setembro de 2008, e 14.284, de 29 de dezembro de 2021.",2023-07-11,TRANSFORMADA EM NORMA JURÍDICA,6,18,FALSE
158654,PL 2617/2023,"Institui o Programa Escola em Tempo Integral; e altera as Leis nºs 11.273, de 6 de fevereiro de 2006, 13.415, de 16 de fevereiro de 2017, e 14.172, de 10 de junho de 2021.",2023-07-07,TRANSFORMADA EM NORMA JURÍDICA COM VETO PARCIAL,5,19,FALSE
159367,PL 4089/2023,"Altera as Leis nºs 10.820, de 17 de dezembro de 2003, e 14.509, de 27 de dezembro de 2022, para dispor sobre a concessão de crédito consignado sem autorização do beneficiário, e a Lei nº 10.741, de 1º de outubro de 2003 (Estatuto da Pessoa Idosa), para caracterizar como prática discriminatória a conduta que especifica.",2023-08-23,REMETIDA À CÂMARA DOS DEPUTADOS,5,20,FALSE
159902,PL 4172/2023,"Institui o Pacto Nacional pela Retomada de Obras e de Serviços de Engenharia Destinados à Educação Básica e Profissionalizante e à Saúde; e altera a Lei nº 10.260, de 12 de julho de 2001.",2023-09-11,TRANSFORMADA EM NORMA JURÍDICA,5,21,FALSE
159997,PL 4503/2023,Institui a Lei Orgânica Nacional das Polícias Civis; dispõe sobre suas normas gerais de funcionamento; e dá outras providências.,2023-09-14,TRANSFORMADA EM NORMA JURÍDICA COM VETO PARCIAL,5,22,FALSE
160708,PL 5206/2023,"Institui marco regulatório do Sistema Nacional de Cultura (SNC), para garantia dos direitos culturais, organizado em regime de colaboração entre os entes federativos para gestão conjunta das políticas públicas de cultura.",2023-10-25,TRANSFORMADA EM NORMA JURÍDICA COM VETO PARCIAL,5,23,FALSE
